IP,Fila
10.50.242.11,IMP_094_SMT_REL_01
10.50.242.19,IMP_094_EXP_REL_01
10.50.242.22,IMP_094_FAT_NF1
10.50.242.23,IMP_094_FAT_NF2
10.50.242.24,IMP_094_FAT_REL_01
10.50.242.25,IMP_094_FAT_NF3
10.50.242.26,IMP_094_FAT_NF4
10.50.242.33,IMP_094_FAT_NF5
10.50.242.28,IMP_094_LOG_REL_01
10.50.242.29,IMP_094_QLT_REL_01
10.50.242.34,IMP_094_ADM_REL_01
10.50.242.37,IMP_094_NFE_REL_01
10.50.242.39,IMP_094_EST01_REL_01
10.50.242.41,IMP_094_EST02_REL_01
10.50.242.43,IMP_094_EST03_REL_01
10.50.242.45,IMP_094_EST04_REL_01
10.50.242.47,IMP_094_REC_REL_01
10.50.242.48,IMP_094_DQS_REL_02
10.50.242.54,IMP_094_SEG_REL_01
10.50.242.55,IMP_094_DQS_REL_01
10.50.242.59,IMP_094_TRA_REL_01
10.50.242.75,IMP_094_DQS_REL_03
10.50.242.77,IMP_094_SEG_REL_02
10.100.95.226,IMP_095_FAT_REL_01
10.100.95.227,IMP_095_FAT_REL_02
10.50.243.11,IMP_094_CONF_ETQ_01
10.50.243.12,IMP_094_CONF_ETQ_02
10.50.243.13,IMP_094_CONF_ETQ_03
10.50.243.14,IMP_094_CONF_ETQ_04
10.50.243.15,IMP_094_CONF_ETQ_05
10.50.243.16,IMP_094_CONF_ETQ_06
10.50.243.17,IMP_094_CONF_ETQ_07
10.50.243.18,IMP_094_CONF_ETQ_08
10.50.243.19,IMP_094_CONF_ETQ_09
10.50.243.20,IMP_094_CONF_ETQ_10
10.50.243.21,IMP_094_CONF_ETQ_11
10.50.243.22,IMP_094_CONF_ETQ_12
10.50.243.23,IMP_094_CONF_ETQ_13
10.50.243.24,IMP_094_CONF_ETQ_14
10.50.243.25,IMP_094_CONF_ETQ_15
10.50.243.26,IMP_094_CONF_ETQ_16
10.50.243.27,IMP_094_CONF_ETQ_17
10.50.243.28,IMP_094_CONF_ETQ_18
10.50.243.29,IMP_094_CONF_ETQ_19
10.50.243.30,IMP_094_CONF_ETQ_20
10.50.243.31,IMP_094_CONF_ETQ_21
10.50.243.32,IMP_094_CONF_ETQ_22
10.50.243.33,IMP_094_CONF_ETQ_23
10.50.243.34,IMP_094_CONF_ETQ_24
10.50.243.35,IMP_094_CONF_ETQ_25
10.50.243.36,IMP_094_CONF_ETQ_26
10.50.243.37,IMP_094_CONF_ETQ_27
10.50.243.38,IMP_094_CONF_ETQ_28
10.50.243.39,IMP_094_CONF_ETQ_29
10.50.243.40,IMP_094_CONF_ETQ_30
10.50.243.41,IMP_094_CONF_ETQ_31
10.50.243.42,IMP_094_CONF_ETQ_32
10.50.243.43,IMP_094_CONF_ETQ_33
10.50.243.44,IMP_094_CONF_ETQ_34
10.50.243.45,IMP_094_CONF_ETQ_35
10.50.243.46,IMP_094_CONF_ETQ_36
10.50.243.47,IMP_094_CONF_ETQ_37
10.50.243.48,IMP_094_CONF_ETQ_38
10.50.243.49,IMP_094_CONF_ETQ_39
10.50.243.50,IMP_094_CONF_ETQ_40
10.50.243.51,IMP_094_CONF_ETQ_41
10.50.243.52,IMP_094_CONF_ETQ_42
10.50.243.53,IMP_094_CONF_ETQ_43
10.50.243.54,IMP_094_CONF_ETQ_44
10.50.243.55,IMP_094_CONF_ETQ_45
10.50.243.56,IMP_094_CONF_ETQ_46
10.50.243.57,IMP_094_CONF_ETQ_47
10.50.243.58,IMP_094_CONF_ETQ_48
10.50.243.59,IMP_094_CONF_ETQ_49
10.50.243.60,IMP_094_CONF_ETQ_50
10.50.242.61,IMP_094_CFR_ETQ_01
10.50.242.62,IMP_094_CFR_ETQ_02
10.50.242.14,IMP_094_DQS_ETQ_01
10.50.242.12,IMP_094_DQS_ETQ_02
10.50.242.13,IMP_094_DQS_ETQ_03
10.50.242.15,IMP_094_DQS_ETQ_04
10.50.242.76,IMP_094_DQS_ETQ_05
10.50.242.78,IMP_094_DQS_ETQ_06
10.50.242.79,IMP_094_DQS_ETQ_07
10.50.242.80,IMP_094_DQS_ETQ_08
10.50.242.81,IMP_094_DQS_ETQ_09
10.50.242.82,IMP_094_DQS_ETQ_10
10.50.242.40,IMP_094_EST01_ETQ1
10.50.242.42,IMP_094_EST02_ETQ1
10.50.242.44,IMP_094_EST03_ETQ1
10.50.242.46,IMP_094_EST04_ETQ1
10.50.242.64,IMP_094_EST05_ETQ1
10.50.242.66,IMP_094_EST06_ETQ1
10.50.242.68,IMP_094_EST07_ETQ1
10.50.242.70,IMP_094_EST08_ETQ1
10.50.242.72,IMP_094_EST09_ETQ1
10.50.242.74,IMP_094_EST10_ETQ1
10.50.242.16,IMP_094_EXP_ETQ_01
10.50.242.17,IMP_094_EXP_ETQ_02
10.50.242.27,IMP_094_LOG_ETQ_01
10.50.242.30,IMP_094_REC_ETQ_01
10.50.242.31,IMP_094_REC_ETQ_02
10.50.242.32,IMP_094_REC_ETQ_03
10.50.242.36,IMP_094_TI_ETQ_01
